Code du département.1;Nom.12;%Voix/Exp;annee
FR-01;22;0.5;01/01/2022
FR-02;22;0.77;01/01/2022
FR-03;22;0.73;01/01/2022
FR-04;22;0.52;01/01/2022
FR-05;22;0.5;01/01/2022
FR-06;22;0.29;01/01/2022
FR-07;22;0.62;01/01/2022
FR-08;22;0.81;01/01/2022
FR-09;22;0.45;01/01/2022
FR-10;22;0.67;01/01/2022
FR-11;22;0.48;01/01/2022
FR-12;22;0.52;01/01/2022
FR-13;22;0.35;01/01/2022
FR-14;22;0.71;01/01/2022
FR-15;22;0.63;01/01/2022
FR-16;22;0.68;01/01/2022
FR-17;22;0.59;01/01/2022
FR-18;22;0.81;01/01/2022
FR-19;22;0.62;01/01/2022
FR-2A;22;0.29;01/01/2022
FR-2B;22;0.33;01/01/2022
FR-21;22;0.63;01/01/2022
FR-22;22;0.71;01/01/2022
FR-23;22;0.73;01/01/2022
FR-24;22;0.52;01/01/2022
FR-25;22;0.75;01/01/2022
FR-26;22;0.7;01/01/2022
FR-27;22;0.69;01/01/2022
FR-28;22;0.64;01/01/2022
FR-29;22;0.67;01/01/2022
FR-30;22;0.43;01/01/2022
FR-31;22;0.41;01/01/2022
FR-32;22;0.45;01/01/2022
FR-33;22;0.41;01/01/2022
FR-34;22;0.4;01/01/2022
FR-35;22;0.63;01/01/2022
FR-36;22;0.9;01/01/2022
FR-37;22;0.68;01/01/2022
FR-38;22;0.52;01/01/2022
FR-39;22;0.73;01/01/2022
FR-40;22;0.43;01/01/2022
FR-41;22;0.69;01/01/2022
FR-42;22;0.62;01/01/2022
FR-43;22;0.73;01/01/2022
FR-44;22;0.59;01/01/2022
FR-45;22;0.58;01/01/2022
FR-46;22;0.56;01/01/2022
FR-47;22;0.48;01/01/2022
FR-48;22;0.5;01/01/2022
FR-49;22;0.7;01/01/2022
FR-50;22;0.79;01/01/2022
FR-51;22;0.65;01/01/2022
FR-52;22;0.74;01/01/2022
FR-53;22;0.76;01/01/2022
FR-54;22;0.67;01/01/2022
FR-55;22;0.71;01/01/2022
FR-56;22;0.63;01/01/2022
FR-57;22;0.67;01/01/2022
FR-58;22;0.74;01/01/2022
FR-59;22;0.6;01/01/2022
FR-60;22;0.69;01/01/2022
FR-61;22;0.8;01/01/2022
FR-62;22;0.74;01/01/2022
FR-63;22;0.71;01/01/2022
FR-64;22;0.42;01/01/2022
FR-65;22;0.47;01/01/2022
FR-66;22;0.49;01/01/2022
FR-67;22;0.64;01/01/2022
FR-68;22;0.59;01/01/2022
FR-69;22;0.42;01/01/2022
FR-70;22;0.87;01/01/2022
FR-71;22;0.66;01/01/2022
FR-72;22;0.72;01/01/2022
FR-73;22;0.49;01/01/2022
FR-74;22;0.44;01/01/2022
FR-75;22;0.27;01/01/2022
FR-76;22;0.69;01/01/2022
FR-77;22;0.52;01/01/2022
FR-78;22;0.38;01/01/2022
FR-79;22;0.79;01/01/2022
FR-80;22;0.83;01/01/2022
FR-81;22;0.51;01/01/2022
FR-82;22;0.47;01/01/2022
FR-83;22;0.35;01/01/2022
FR-84;22;0.4;01/01/2022
FR-85;22;0.63;01/01/2022
FR-86;22;0.74;01/01/2022
FR-87;22;0.72;01/01/2022
FR-88;22;0.77;01/01/2022
FR-89;22;0.68;01/01/2022
FR-90;22;0.8;01/01/2022
FR-91;22;0.48;01/01/2022
FR-92;22;0.3;01/01/2022
FR-93;22;0.51;01/01/2022
FR-94;22;0.43;01/01/2022
FR-95;22;0.45;01/01/2022
FR-01;24;1.78;01/01/2022
FR-02;24;2.24;01/01/2022
FR-03;24;4.37;01/01/2022
FR-04;24;2.81;01/01/2022
FR-05;24;2.23;01/01/2022
FR-06;24;1.59;01/01/2022
FR-07;24;2.9;01/01/2022
FR-08;24;2.25;01/01/2022
FR-09;24;2.95;01/01/2022
FR-10;24;2.07;01/01/2022
FR-11;24;2.65;01/01/2022
FR-12;24;2.64;01/01/2022
FR-13;24;2.41;01/01/2022
FR-14;24;2.27;01/01/2022
FR-15;24;2.83;01/01/2022
FR-16;24;2.79;01/01/2022
FR-17;24;2.54;01/01/2022
FR-18;24;3.58;01/01/2022
FR-19;24;4.41;01/01/2022
FR-2A;24;2.69;01/01/2022
FR-2B;24;3.42;01/01/2022
FR-21;24;2.02;01/01/2022
FR-22;24;3.17;01/01/2022
FR-23;24;3.64;01/01/2022
