ISO_Code;Date;NombeDelit
FR-89;01/01/2011;16211
FR-90;01/01/2011;6271
FR-91;01/01/2011;71790
FR-92;01/01/2011;95567
FR-93;01/01/2011;140367
FR-94;01/01/2011;89103
FR-95;01/01/2011;92478
FR-01;01/01/2012;22504
FR-02;01/01/2012;24725
FR-03;01/01/2012;12322
FR-04;01/01/2012;7867
FR-05;01/01/2012;6061
FR-06;01/01/2012;89157
FR-07;01/01/2012;11111
FR-08;01/01/2012;10992
FR-09;01/01/2012;5699
FR-10;01/01/2012;14300
FR-11;01/01/2012;18504
FR-12;01/01/2012;6896
FR-13;01/01/2012;170262
FR-14;01/01/2012;28139
FR-15;01/01/2012;3297
FR-16;01/01/2012;13838
FR-17;01/01/2012;31090
FR-18;01/01/2012;11813
FR-19;01/01/2012;7704
FR-21;01/01/2012;21387
FR-22;01/01/2012;19035
FR-23;01/01/2012;2374
FR-24;01/01/2012;12766
FR-25;01/01/2012;23015
FR-26;01/01/2012;28162
FR-27;01/01/2012;23366
FR-28;01/01/2012;17731
FR-29;01/01/2012;35511
FR-2A;01/01/2012;7164
FR-2B;01/01/2012;7880
FR-30;01/01/2012;43404
FR-31;01/01/2012;84444
FR-32;01/01/2012;5225
FR-33;01/01/2012;81728
FR-34;01/01/2012;74454
FR-36;01/01/2012;7761
FR-35;01/01/2012;40481
FR-37;01/01/2012;25252
FR-38;01/01/2012;64547
FR-39;01/01/2012;8661
FR-40;01/01/2012;16361
FR-41;01/01/2012;13349
FR-42;01/01/2012;32703
FR-43;01/01/2012;5742
FR-44;01/01/2012;73054
FR-45;01/01/2012;31117
FR-46;01/01/2012;5269
FR-47;01/01/2012;12935
FR-48;01/01/2012;2103
FR-49;01/01/2012;29104
FR-50;01/01/2012;13418
FR-51;01/01/2012;32138
FR-52;01/01/2012;7775
FR-53;01/01/2012;9317
FR-54;01/01/2012;36355
FR-55;01/01/2012;7002
FR-56;01/01/2012;25382
FR-57;01/01/2012;45914
FR-58;01/01/2012;7558
FR-59;01/01/2012;158545
FR-60;01/01/2012;42040
FR-61;01/01/2012;9911
FR-62;01/01/2012;71090
FR-63;01/01/2012;25086
FR-64;01/01/2012;26945
FR-65;01/01/2012;8945
FR-66;01/01/2012;31292
FR-67;01/01/2012;48403
FR-68;01/01/2012;31099
FR-69;01/01/2012;118941
FR-70;01/01/2012;8141
FR-71;01/01/2012;19227
FR-72;01/01/2012;20798
FR-73;01/01/2012;26491
FR-74;01/01/2012;35782
FR-75;01/01/2012;233853
FR-76;01/01/2012;63357
FR-77;01/01/2012;80518
FR-78;01/01/2012;81739
FR-79;01/01/2012;11957
FR-80;01/01/2012;28162
FR-81;01/01/2012;13341
FR-82;01/01/2012;10491
FR-83;01/01/2012;61069
FR-84;01/01/2012;33527
FR-85;01/01/2012;20457
FR-86;01/01/2012;15439
FR-87;01/01/2012;13062
FR-88;01/01/2012;12579
FR-89;01/01/2012;16265
FR-90;01/01/2012;6127
FR-91;01/01/2012;71114
FR-92;01/01/2012;96050
FR-93;01/01/2012;140353
FR-94;01/01/2012;88535
FR-95;01/01/2012;88837
FR-01;01/01/2015;26296
FR-02;01/01/2015;24279
FR-03;01/01/2015;12527
FR-04;01/01/2015;8081
FR-05;01/01/2015;6974
FR-06;01/01/2015;81960
FR-07;01/01/2015;11573
FR-08;01/01/2015;11575
FR-09;01/01/2015;6264
FR-10;01/01/2015;16358
FR-11;01/01/2015;19378
FR-12;01/01/2015;8223
FR-13;01/01/2015;157604
FR-14;01/01/2015;28876
FR-15;01/01/2015;4119
FR-16;01/01/2015;14958
FR-17;01/01/2015;32174
FR-18;01/01/2015;13579
FR-19;01/01/2015;8142
FR-21;01/01/2015;23077
FR-22;01/01/2015;21415
FR-23;01/01/2015;3219
FR-24;01/01/2015;14237
FR-25;01/01/2015;27272
FR-26;01/01/2015;28989
FR-27;01/01/2015;23498
FR-28;01/01/2015;17653
FR-29;01/01/2015;36889
FR-2A;01/01/2015;6753
FR-2B;01/01/2015;7698
FR-30;01/01/2015;39682
FR-31;01/01/2015;89917
FR-32;01/01/2015;6495
FR-33;01/01/2015;85692
FR-34;01/01/2015;73529
FR-36;01/01/2015;8009
FR-35;01/01/2015;40945
FR-37;01/01/2015;26186
FR-38;01/01/2015;74971
FR-39;01/01/2015;8832
FR-40;01/01/2015;16900
FR-41;01/01/2015;14444
FR-42;01/01/2015;37368
FR-43;01/01/2015;6622
FR-44;01/01/2015;79342
FR-45;01/01/2015;32732
FR-46;01/01/2015;5705
FR-47;01/01/2015;13092
FR-48;01/01/2015;2153
FR-49;01/01/2015;30660
FR-50;01/01/2015;14377
FR-51;01/01/2015;31730
FR-52;01/01/2015;7803
FR-53;01/01/2015;9925
FR-54;01/01/2015;36988
FR-55;01/01/2015;7367
FR-56;01/01/2015;26184
FR-57;01/01/2015;44333
FR-58;01/01/2015;8557
FR-59;01/01/2015;162583
FR-60;01/01/2015;42656
FR-61;01/01/2015;10809
FR-62;01/01/2015;74385
FR-63;01/01/2015;27453
FR-64;01/01/2015;27602
FR-65;01/01/2015;9639
FR-66;01/01/2015;31165
FR-67;01/01/2015;47568
FR-68;01/01/2015;32241
FR-69;01/01/2015;128391
FR-70;01/01/2015;9090
FR-71;01/01/2015;19757
FR-72;01/01/2015;24201
FR-73;01/01/2015;22586
FR-74;01/01/2015;36434
FR-75;01/01/2015;265180
FR-76;01/01/2015;60888
FR-77;01/01/2015;85741
FR-78;01/01/2015;82600
FR-79;01/01/2015;12236
FR-80;01/01/2015;27238
FR-81;01/01/2015;13774
FR-82;01/01/2015;11106
FR-83;01/01/2015;65200
FR-84;01/01/2015;32980
FR-85;01/01/2015;22544
FR-86;01/01/2015;18447
FR-87;01/01/2015;13095
FR-88;01/01/2015;13132
FR-89;01/01/2015;17493
FR-90;01/01/2015;6353
FR-91;01/01/2015;71741
FR-92;01/01/2015;112093
FR-93;01/01/2015;136779
FR-94;01/01/2015;95136
FR-95;01/01/2015;82598
FR-01;01/01/2016;25197
FR-02;01/01/2016;22858
FR-03;01/01/2016;13234
FR-04;01/01/2016;8463
FR-05;01/01/2016;6775
FR-06;01/01/2016;76507
FR-07;01/01/2016;11819
FR-08;01/01/2016;11711
FR-09;01/01/2016;6492
FR-10;01/01/2016;16684
FR-11;01/01/2016;19230
FR-12;01/01/2016;8686
FR-13;01/01/2016;155440
FR-14;01/01/2016;28756
FR-15;01/01/2016;4117
FR-16;01/01/2016;15683
FR-17;01/01/2016;30792
FR-18;01/01/2016;13455
FR-19;01/01/2016;8399
FR-21;01/01/2016;22851
FR-22;01/01/2016;20836
FR-23;01/01/2016;3393
FR-24;01/01/2016;14400
FR-25;01/01/2016;25715
FR-26;01/01/2016;28099
FR-27;01/01/2016;24899
FR-28;01/01/2016;17380
FR-29;01/01/2016;36186
FR-2A;01/01/2016;7171
FR-2B;01/01/2016;7615
FR-30;01/01/2016;38921
FR-31;01/01/2016;90840
FR-32;01/01/2016;6813
FR-33;01/01/2016;86418
FR-34;01/01/2016;76816
FR-36;01/01/2016;7956
FR-35;01/01/2016;42031
FR-37;01/01/2016;26779
FR-38;01/01/2016;71210
FR-39;01/01/2016;9198
FR-40;01/01/2016;16847
FR-41;01/01/2016;14266
FR-42;01/01/2016;37827
FR-43;01/01/2016;7134
FR-44;01/01/2016;81908
FR-45;01/01/2016;34736
FR-46;01/01/2016;5459
FR-47;01/01/2016;14537
FR-48;01/01/2016;2191
FR-49;01/01/2016;31715
FR-50;01/01/2016;14492
FR-51;01/01/2016;30458
FR-52;01/01/2016;7820
FR-53;01/01/2016;10121
FR-54;01/01/2016;35710
FR-55;01/01/2016;7210
FR-56;01/01/2016;27656
FR-57;01/01/2016;42575
FR-58;01/01/2016;8348
FR-59;01/01/2016;162056
FR-60;01/01/2016;42673
FR-61;01/01/2016;10535
FR-62;01/01/2016;73520
FR-63;01/01/2016;28721
FR-64;01/01/2016;26286
FR-65;01/01/2016;9791
FR-66;01/01/2016;28488
FR-67;01/01/2016;45993
FR-68;01/01/2016;30119
FR-69;01/01/2016;136928
FR-70;01/01/2016;8386
FR-71;01/01/2016;20422
FR-72;01/01/2016;24855
FR-73;01/01/2016;22225
FR-74;01/01/2016;37361
FR-75;01/01/2016;271657
FR-76;01/01/2016;62821
FR-77;01/01/2016;83365
FR-78;01/01/2016;83228
FR-79;01/01/2016;12317
FR-80;01/01/2016;26481
FR-81;01/01/2016;15027
FR-82;01/01/2016;11449
FR-83;01/01/2016;64515
FR-84;01/01/2016;32927
FR-85;01/01/2016;22656
FR-86;01/01/2016;17754
FR-87;01/01/2016;13886
FR-88;01/01/2016;13502
FR-89;01/01/2016;19294
FR-90;01/01/2016;6693
FR-91;01/01/2016;69449
FR-92;01/01/2016;111533
FR-93;01/01/2016;140049
FR-94;01/01/2016;90855
FR-95;01/01/2016;80767
FR-01;01/01/2017;25335
FR-02;01/01/2017;23429
FR-03;01/01/2017;13668
FR-04;01/01/2017;8423
FR-05;01/01/2017;6676
FR-06;01/01/2017;71867
FR-07;01/01/2017;11915
FR-08;01/01/2017;11492
FR-09;01/01/2017;6606
FR-10;01/01/2017;15955
FR-11;01/01/2017;18877
FR-12;01/01/2017;8455
FR-13;01/01/2017;151936
FR-14;01/01/2017;29918
FR-15;01/01/2017;4275
FR-16;01/01/2017;15593
FR-17;01/01/2017;32128
FR-18;01/01/2017;13672
FR-19;01/01/2017;8495
FR-21;01/01/2017;23070
FR-22;01/01/2017;21740
FR-23;01/01/2017;3799
FR-24;01/01/2017;14725
FR-25;01/01/2017;25730
FR-26;01/01/2017;26922
FR-27;01/01/2017;24771
FR-28;01/01/2017;17133
FR-29;01/01/2017;37258
FR-2A;01/01/2017;7024
FR-2B;01/01/2017;7375
FR-30;01/01/2017;39697
FR-31;01/01/2017;91920
FR-32;01/01/2017;6704
FR-33;01/01/2017;90924
FR-34;01/01/2017;76683
FR-36;01/01/2017;8096
FR-35;01/01/2017;42714
FR-37;01/01/2017;28258
FR-38;01/01/2017;73090
FR-39;01/01/2017;9925
FR-40;01/01/2017;16308
FR-41;01/01/2017;14473
FR-42;01/01/2017;37457
FR-43;01/01/2017;7409
FR-44;01/01/2017;84547
FR-45;01/01/2017;33583
FR-46;01/01/2017;6143
FR-47;01/01/2017;14045
FR-48;01/01/2017;2179
FR-49;01/01/2017;31555
FR-50;01/01/2017;15948
FR-51;01/01/2017;30816
FR-52;01/01/2017;7742
FR-53;01/01/2017;10388
FR-54;01/01/2017;34865
FR-55;01/01/2017;7244
FR-56;01/01/2017;28670
FR-57;01/01/2017;43479
FR-58;01/01/2017;9036
FR-59;01/01/2017;160257
FR-60;01/01/2017;41988
FR-61;01/01/2017;11179
FR-62;01/01/2017;71327
FR-63;01/01/2017;30459
FR-64;01/01/2017;27602
FR-65;01/01/2017;10048
FR-66;01/01/2017;28671
FR-67;01/01/2017;48712
FR-68;01/01/2017;30599
FR-69;01/01/2017;139607
FR-70;01/01/2017;8176
FR-71;01/01/2017;20744
FR-72;01/01/2017;25128
FR-73;01/01/2017;22122
FR-74;01/01/2017;37726
FR-75;01/01/2017;281518
FR-76;01/01/2017;62440
FR-77;01/01/2017;84173
FR-78;01/01/2017;82327
FR-79;01/01/2017;13334
FR-80;01/01/2017;28162
FR-81;01/01/2017;14985
FR-82;01/01/2017;11697
FR-83;01/01/2017;64524
FR-84;01/01/2017;31564
FR-85;01/01/2017;23132
FR-86;01/01/2017;18609
FR-87;01/01/2017;13682
FR-88;01/01/2017;14204
FR-89;01/01/2017;17516
FR-90;01/01/2017;6440
FR-91;01/01/2017;69778
FR-92;01/01/2017;107212
FR-93;01/01/2017;144750
FR-94;01/01/2017;92341
FR-95;01/01/2017;83552
FR-01;01/01/2020;24210
FR-02;01/01/2020;23638
FR-03;01/01/2020;12822
FR-04;01/01/2020;7815
FR-05;01/01/2020;5603
FR-06;01/01/2020;65274
FR-07;01/01/2020;11999
FR-08;01/01/2020;11112
FR-09;01/01/2020;6514
FR-10;01/01/2020;15314
FR-11;01/01/2020;15800
FR-12;01/01/2020;8313
FR-13;01/01/2020;141531
FR-14;01/01/2020;26623
FR-15;01/01/2020;4069
FR-16;01/01/2020;14269
FR-17;01/01/2020;28845
FR-18;01/01/2020;10926
FR-19;01/01/2020;8063
FR-21;01/01/2020;21387
FR-22;01/01/2020;19738
FR-23;01/01/2020;3703
FR-24;01/01/2020;13709
FR-25;01/01/2020;23732
FR-26;01/01/2020;24696
FR-27;01/01/2020;23338
FR-28;01/01/2020;16069
FR-29;01/01/2020;32816
FR-2A;01/01/2020;6719
FR-2B;01/01/2020;6630
FR-30;01/01/2020;35812
FR-31;01/01/2020;83478
FR-32;01/01/2020;6062
FR-33;01/01/2020;95368
FR-34;01/01/2020;69098
FR-36;01/01/2020;7620
FR-35;01/01/2020;41374
FR-37;01/01/2020;26840
FR-38;01/01/2020;68875
FR-39;01/01/2020;9850
FR-40;01/01/2020;15157
FR-41;01/01/2020;10911
FR-42;01/01/2020;33483
FR-43;01/01/2020;7984
FR-44;01/01/2020;77870
FR-45;01/01/2020;29217
FR-46;01/01/2020;5804
