ISO_Code;Grand secteur d'activité;Date;Valeur
FR-16;GS4 Hôtellerie-restauration;01/01/2010;571
FR-16;GS2 Construction;01/01/2010;1322
FR-16;GS6 Intérim;01/01/2010;56
FR-16;GS7 Services non marchands;01/01/2010;800
FR-16;GS4 Hôtellerie-restauration;01/01/2010;571
FR-17;GS3 Commerce;01/01/2010;4325
FR-17;GS5 Autres services marchands hors intérim;01/01/2010;5925
FR-17;GS2 Construction;01/01/2010;2751
FR-17;GS4 Hôtellerie-restauration;01/01/2010;1850
FR-17;GS7 Services non marchands;01/01/2010;1414
FR-17;GS6 Intérim;01/01/2010;84
FR-17;GS1 Industrie;01/01/2010;1542
FR-18;GS4 Hôtellerie-restauration;01/01/2010;635
FR-18;GS6 Intérim;01/01/2010;55
FR-18;GS5 Autres services marchands hors intérim;01/01/2010;2399
FR-18;GS1 Industrie;01/01/2010;835
FR-18;GS2 Construction;01/01/2010;1063
FR-18;GS3 Commerce;01/01/2010;1680
FR-18;GS7 Services non marchands;01/01/2010;690
FR-19;GS6 Intérim;01/01/2010;55
FR-19;GS7 Services non marchands;01/01/2010;634
FR-19;GS5 Autres services marchands hors intérim;01/01/2010;2185
FR-19;GS2 Construction;01/01/2010;948
FR-19;GS3 Commerce;01/01/2010;1725
FR-19;GS4 Hôtellerie-restauration;01/01/2010;573
FR-19;GS1 Industrie;01/01/2010;712
FR-21;GS1 Industrie;01/01/2010;1311
FR-21;GS3 Commerce;01/01/2010;3299
FR-21;GS6 Intérim;01/01/2010;128
FR-21;GS7 Services non marchands;01/01/2010;1346
FR-21;GS4 Hôtellerie-restauration;01/01/2010;1238
FR-21;GS2 Construction;01/01/2010;1748
FR-21;GS5 Autres services marchands hors intérim;01/01/2010;5253
FR-22;GS2 Construction;01/01/2010;2244
FR-22;GS3 Commerce;01/01/2010;3461
FR-22;GS4 Hôtellerie-restauration;01/01/2010;1534
FR-22;GS7 Services non marchands;01/01/2010;1296
FR-22;GS6 Intérim;01/01/2010;131
FR-22;GS5 Autres services marchands hors intérim;01/01/2010;4810
FR-22;GS1 Industrie;01/01/2010;1345
FR-23;GS4 Hôtellerie-restauration;01/01/2010;236
FR-23;GS7 Services non marchands;01/01/2010;304
FR-23;GS6 Intérim;01/01/2010;13
FR-23;GS1 Industrie;01/01/2010;313
FR-23;GS2 Construction;01/01/2010;428
FR-23;GS3 Commerce;01/01/2010;673
FR-23;GS5 Autres services marchands hors intérim;01/01/2010;929
FR-24;GS4 Hôtellerie-restauration;01/01/2010;1211
