Code du département.1;Nom.11;%Voix/Exp;annee
FR-04;17;20.02;01/01/2017
FR-05;17;21.8;01/01/2017
FR-06;17;19.04;01/01/2017
FR-07;17;21.64;01/01/2017
FR-08;17;18.33;01/01/2017
FR-09;17;20.92;01/01/2017
FR-10;17;18.98;01/01/2017
FR-11;17;20.07;01/01/2017
FR-12;17;25.83;01/01/2017
FR-13;17;19.37;01/01/2017
FR-14;17;24.83;01/01/2017
FR-15;17;26.73;01/01/2017
FR-16;17;25.07;01/01/2017
FR-17;17;23.91;01/01/2017
FR-18;17;22.05;01/01/2017
FR-19;17;26.93;01/01/2017
FR-21;17;23.65;01/01/2017
FR-22;17;27.99;01/01/2017
FR-23;17;22.5;01/01/2017
FR-24;17;22.49;01/01/2017
FR-25;17;22.5;01/01/2017
FR-26;17;21.88;01/01/2017
FR-27;17;19.89;01/01/2017
FR-28;17;21.74;01/01/2017
FR-29;17;29.45;01/01/2017
FR-2A;17;17.87;01/01/2017
FR-2B;17;19.02;01/01/2017
FR-30;17;18.78;01/01/2017
FR-31;17;26.43;01/01/2017
FR-32;17;23.4;01/01/2017
FR-33;17;26.13;01/01/2017
FR-34;17;20.52;01/01/2017
FR-35;17;30.26;01/01/2017
FR-36;17;20.85;01/01/2017
FR-37;17;24.47;01/01/2017
FR-38;17;24.77;01/01/2017
FR-39;17;21.33;01/01/2017
FR-40;17;24.63;01/01/2017
FR-41;17;20.98;01/01/2017
FR-42;17;23.17;01/01/2017
FR-43;17;23.51;01/01/2017
FR-44;17;28.66;01/01/2017
FR-45;17;23.48;01/01/2017
FR-46;17;26.65;01/01/2017
FR-47;17;20.79;01/01/2017
FR-48;17;21.73;01/01/2017
FR-49;17;26.51;01/01/2017
FR-50;17;24.86;01/01/2017
FR-51;17;20.75;01/01/2017
FR-52;17;18;01/01/2017
FR-53;17;26.04;01/01/2017
FR-54;17;22.04;01/01/2017
FR-55;17;19.35;01/01/2017
FR-56;17;27.86;01/01/2017
FR-57;17;21.05;01/01/2017
FR-58;17;22.71;01/01/2017
FR-59;17;19.85;01/01/2017
FR-60;17;19.8;01/01/2017
FR-61;17;21.57;01/01/2017
FR-62;17;18.45;01/01/2017
FR-63;17;27.15;01/01/2017
FR-64;17;26.28;01/01/2017
FR-65;17;25.11;01/01/2017
FR-66;17;18.46;01/01/2017
FR-67;17;22.29;01/01/2017
FR-68;17;19.76;01/01/2017
FR-69;17;26.58;01/01/2017
FR-70;17;19.59;01/01/2017
FR-71;17;22.33;01/01/2017
FR-72;17;20.04;01/01/2017
FR-73;17;23.13;01/01/2017
FR-74;17;24.23;01/01/2017
FR-75;17;34.83;01/01/2017
FR-76;17;21.23;01/01/2017
FR-77;17;23.11;01/01/2017
FR-78;17;28.86;01/01/2017
FR-79;17;26.97;01/01/2017
FR-80;17;21.75;01/01/2017
FR-81;17;22.14;01/01/2017
FR-82;17;20.65;01/01/2017
FR-83;17;17.73;01/01/2017
FR-84;17;18.52;01/01/2017
FR-85;17;26.26;01/01/2017
FR-86;17;24.88;01/01/2017
FR-87;17;26.67;01/01/2017
FR-88;17;19.86;01/01/2017
FR-89;17;19.63;01/01/2017
FR-90;17;20.64;01/01/2017
FR-91;17;26.21;01/01/2017
FR-92;17;32.3;01/01/2017
FR-93;17;24.04;01/01/2017
FR-94;17;28.33;01/01/2017
FR-95;17;25.31;01/01/2017
FR-01;13;15.88;01/01/2017
FR-02;13;16.99;01/01/2017
FR-03;13;19.91;01/01/2017
FR-04;13;22.51;01/01/2017
FR-05;13;21.62;01/01/2017
FR-06;13;14.96;01/01/2017
FR-07;13;21.8;01/01/2017
FR-08;13;17.83;01/01/2017
FR-09;13;26.76;01/01/2017
FR-10;13;13.97;01/01/2017
FR-11;13;21.52;01/01/2017
FR-12;13;19.66;01/01/2017
FR-13;13;22.02;01/01/2017
FR-14;13;18.83;01/01/2017
FR-15;13;15.91;01/01/2017
FR-16;13;20.48;01/01/2017
FR-17;13;18.97;01/01/2017
FR-18;13;19.51;01/01/2017
FR-19;13;20.85;01/01/2017
FR-21;13;17.84;01/01/2017
FR-22;13;20.27;01/01/2017
FR-23;13;21.11;01/01/2017
FR-24;13;22.97;01/01/2017
FR-25;13;17.88;01/01/2017
FR-26;13;20.1;01/01/2017
FR-27;13;17.47;01/01/2017
FR-28;13;16.2;01/01/2017
FR-29;13;19.67;01/01/2017
FR-2A;13;13.84;01/01/2017
FR-2B;13;13.78;01/01/2017
FR-30;13;21.61;01/01/2017
FR-31;13;23.69;01/01/2017
FR-32;13;19.45;01/01/2017
FR-33;13;21.85;01/01/2017
FR-34;13;22.97;01/01/2017
FR-35;13;19.7;01/01/2017
FR-36;13;19.05;01/01/2017
FR-37;13;19.4;01/01/2017
FR-38;13;20.52;01/01/2017
FR-39;13;20.28;01/01/2017
FR-40;13;20.15;01/01/2017
FR-41;13;16.3;01/01/2017
FR-42;13;18.75;01/01/2017
FR-43;13;18.21;01/01/2017
FR-44;13;21.98;01/01/2017
FR-45;13;16.35;01/01/2017
FR-46;13;23.48;01/01/2017
FR-47;13;19.08;01/01/2017
FR-48;13;19.7;01/01/2017
FR-49;13;17.06;01/01/2017
FR-50;13;16.98;01/01/2017
FR-51;13;15.12;01/01/2017
FR-52;13;15.01;01/01/2017
FR-53;13;14.87;01/01/2017
FR-54;13;20.38;01/01/2017
FR-55;13;14.97;01/01/2017
FR-56;13;17.49;01/01/2017
FR-57;13;17.9;01/01/2017
FR-58;13;19.16;01/01/2017
FR-59;13;21.28;01/01/2017
FR-60;13;17.68;01/01/2017
FR-61;13;14.78;01/01/2017
FR-62;13;19.13;01/01/2017
FR-63;13;21.99;01/01/2017
FR-64;13;19.92;01/01/2017
FR-65;13;23.01;01/01/2017
FR-66;13;21.14;01/01/2017
FR-67;13;14.78;01/01/2017
FR-68;13;14.32;01/01/2017
FR-69;13;19.7;01/01/2017
FR-70;13;15.88;01/01/2017
FR-71;13;17.83;01/01/2017
FR-72;13;17.63;01/01/2017
FR-73;13;18.63;01/01/2017
FR-74;13;16.22;01/01/2017
FR-75;13;19.56;01/01/2017
FR-76;13;22.2;01/01/2017
FR-77;13;20.84;01/01/2017
FR-78;13;16.65;01/01/2017
FR-79;13;19.41;01/01/2017
FR-80;13;18.61;01/01/2017
FR-81;13;20.57;01/01/2017
FR-82;13;18.97;01/01/2017
FR-83;13;15.38;01/01/2017
FR-84;13;19.37;01/01/2017
FR-85;13;15.08;01/01/2017
FR-86;13;20.64;01/01/2017
FR-87;13;22.33;01/01/2017
FR-88;13;16.64;01/01/2017
FR-89;13;16.7;01/01/2017
FR-90;13;19.1;01/01/2017
FR-91;13;21.88;01/01/2017
FR-92;13;18.28;01/01/2017
FR-93;13;34.02;01/01/2017
FR-94;13;24.53;01/01/2017
FR-95;13;23.96;01/01/2017
FR-01;12;0.95;01/01/2017
FR-02;12;1.1;01/01/2017
FR-03;12;1.21;01/01/2017
FR-04;12;1.18;01/01/2017
FR-05;12;1.21;01/01/2017
FR-06;12;0.62;01/01/2017
FR-07;12;1.33;01/01/2017
FR-08;12;1.15;01/01/2017
FR-09;12;1.26;01/01/2017
FR-10;12;0.86;01/01/2017
FR-11;12;1.17;01/01/2017
FR-12;12;1.32;01/01/2017
FR-13;12;0.76;01/01/2017
FR-14;12;1.31;01/01/2017
FR-15;12;1.29;01/01/2017
FR-16;12;1.37;01/01/2017
FR-17;12;1.28;01/01/2017
FR-18;12;1.22;01/01/2017
FR-19;12;1.59;01/01/2017
FR-21;12;0.99;01/01/2017
FR-22;12;1.46;01/01/2017
FR-23;12;1.72;01/01/2017
FR-24;12;1.44;01/01/2017
FR-25;12;1.25;01/01/2017
FR-26;12;1.1;01/01/2017
FR-27;12;1.17;01/01/2017
FR-28;12;1.13;01/01/2017
FR-29;12;1.48;01/01/2017
FR-2A;12;0.9;01/01/2017
FR-2B;12;0.88;01/01/2017
FR-30;12;0.96;01/01/2017
FR-31;12;0.99;01/01/2017
FR-32;12;1.06;01/01/2017
FR-33;12;1.56;01/01/2017
FR-34;12;0.9;01/01/2017
FR-35;12;1.18;01/01/2017
FR-36;12;1.34;01/01/2017
FR-37;12;1.15;01/01/2017
FR-38;12;0.96;01/01/2017
FR-39;12;1.32;01/01/2017
FR-40;12;1.16;01/01/2017
FR-41;12;1.13;01/01/2017
FR-42;12;1.05;01/01/2017
FR-43;12;1.38;01/01/2017
FR-44;12;1.19;01/01/2017
FR-45;12;1.03;01/01/2017
FR-46;12;1.38;01/01/2017
FR-47;12;1.21;01/01/2017
FR-48;12;1.42;01/01/2017
FR-49;12;1.24;01/01/2017
FR-50;12;1.38;01/01/2017
FR-51;12;0.94;01/01/2017
FR-52;12;1.2;01/01/2017
FR-53;12;1.24;01/01/2017
FR-54;12;1.18;01/01/2017
FR-55;12;1.34;01/01/2017
FR-56;12;1.35;01/01/2017
FR-57;12;1.25;01/01/2017
FR-58;12;1.28;01/01/2017
FR-59;12;0.97;01/01/2017
FR-60;12;1.07;01/01/2017
FR-61;12;1.29;01/01/2017
FR-62;12;1.08;01/01/2017
FR-63;12;1.33;01/01/2017
FR-64;12;1.61;01/01/2017
FR-65;12;1.13;01/01/2017
FR-66;12;1.14;01/01/2017
FR-67;12;1.09;01/01/2017
FR-68;12;1.17;01/01/2017
FR-69;12;0.8;01/01/2017
FR-70;12;1.45;01/01/2017
FR-71;12;1.16;01/01/2017
FR-72;12;1.11;01/01/2017
FR-73;12;1.07;01/01/2017
FR-74;12;1.03;01/01/2017
FR-75;12;0.63;01/01/2017
FR-76;12;1.21;01/01/2017
FR-77;12;0.93;01/01/2017
FR-78;12;0.72;01/01/2017
FR-79;12;1.62;01/01/2017
FR-80;12;1.15;01/01/2017
FR-81;12;1.16;01/01/2017
FR-82;12;1.07;01/01/2017
FR-83;12;0.76;01/01/2017
FR-84;12;0.89;01/01/2017
FR-85;12;1.25;01/01/2017
FR-86;12;1.53;01/01/2017
FR-87;12;1.46;01/01/2017
FR-88;12;1.47;01/01/2017
FR-89;12;1.15;01/01/2017
FR-90;12;1.24;01/01/2017
FR-91;12;0.92;01/01/2017
FR-92;12;0.63;01/01/2017
FR-93;12;1.12;01/01/2017
FR-94;12;0.86;01/01/2017
FR-95;12;0.92;01/01/2017
