Code du département.1;Nom.11;%Voix/Exp;annee
FR-80;18;0.71;01/01/2017
FR-81;18;0.78;01/01/2017
FR-82;18;0.91;01/01/2017
FR-83;18;0.96;01/01/2017
FR-84;18;0.92;01/01/2017
FR-85;18;0.65;01/01/2017
FR-86;18;0.8;01/01/2017
FR-87;18;0.75;01/01/2017
FR-88;18;1.01;01/01/2017
FR-89;18;0.96;01/01/2017
FR-90;18;1.31;01/01/2017
FR-91;18;1.21;01/01/2017
FR-92;18;1.06;01/01/2017
FR-93;18;1.61;01/01/2017
FR-94;18;1.2;01/01/2017
FR-95;18;1.41;01/01/2017
FR-01;15;0.18;01/01/2017
FR-02;15;0.19;01/01/2017
FR-03;15;0.18;01/01/2017
FR-04;15;0.21;01/01/2017
FR-05;15;0.19;01/01/2017
FR-06;15;0.16;01/01/2017
FR-07;15;0.19;01/01/2017
FR-08;15;0.18;01/01/2017
FR-09;15;0.15;01/01/2017
FR-10;15;0.18;01/01/2017
FR-11;15;0.16;01/01/2017
FR-12;15;0.18;01/01/2017
FR-13;15;0.17;01/01/2017
FR-14;15;0.17;01/01/2017
FR-15;15;0.22;01/01/2017
FR-16;15;0.23;01/01/2017
FR-17;15;0.18;01/01/2017
FR-18;15;0.2;01/01/2017
FR-19;15;0.23;01/01/2017
FR-21;15;0.18;01/01/2017
FR-22;15;0.17;01/01/2017
FR-23;15;0.25;01/01/2017
FR-24;15;0.2;01/01/2017
FR-25;15;0.19;01/01/2017
FR-26;15;0.18;01/01/2017
FR-27;15;0.18;01/01/2017
FR-28;15;0.19;01/01/2017
FR-29;15;0.15;01/01/2017
FR-2A;15;0.16;01/01/2017
FR-2B;15;0.17;01/01/2017
FR-30;15;0.16;01/01/2017
FR-31;15;0.18;01/01/2017
FR-32;15;0.16;01/01/2017
FR-33;15;0.18;01/01/2017
FR-34;15;0.14;01/01/2017
FR-35;15;0.17;01/01/2017
FR-36;15;0.23;01/01/2017
FR-37;15;0.2;01/01/2017
FR-38;15;0.17;01/01/2017
FR-39;15;0.19;01/01/2017
FR-40;15;0.15;01/01/2017
FR-41;15;0.21;01/01/2017
FR-42;15;0.17;01/01/2017
FR-43;15;0.2;01/01/2017
FR-44;15;0.17;01/01/2017
FR-45;15;0.2;01/01/2017
FR-46;15;0.2;01/01/2017
FR-47;15;0.17;01/01/2017
FR-48;15;0.19;01/01/2017
FR-49;15;0.18;01/01/2017
FR-50;15;0.21;01/01/2017
FR-51;15;0.18;01/01/2017
FR-52;15;0.19;01/01/2017
FR-53;15;0.18;01/01/2017
FR-54;15;0.19;01/01/2017
FR-55;15;0.22;01/01/2017
FR-56;15;0.19;01/01/2017
FR-57;15;0.21;01/01/2017
FR-58;15;0.19;01/01/2017
FR-59;15;0.17;01/01/2017
FR-60;15;0.19;01/01/2017
FR-61;15;0.21;01/01/2017
FR-62;15;0.17;01/01/2017
FR-63;15;0.21;01/01/2017
FR-64;15;0.13;01/01/2017
FR-65;15;0.14;01/01/2017
FR-66;15;0.17;01/01/2017
FR-67;15;0.2;01/01/2017
FR-68;15;0.25;01/01/2017
FR-69;15;0.16;01/01/2017
FR-70;15;0.19;01/01/2017
FR-71;15;0.16;01/01/2017
FR-72;15;0.17;01/01/2017
FR-73;15;0.18;01/01/2017
FR-74;15;0.2;01/01/2017
FR-75;15;0.14;01/01/2017
FR-76;15;0.19;01/01/2017
FR-77;15;0.18;01/01/2017
FR-78;15;0.18;01/01/2017
FR-79;15;0.18;01/01/2017
FR-80;15;0.18;01/01/2017
FR-81;15;0.19;01/01/2017
FR-82;15;0.18;01/01/2017
FR-83;15;0.16;01/01/2017
FR-84;15;0.17;01/01/2017
FR-85;15;0.17;01/01/2017
FR-86;15;0.24;01/01/2017
FR-87;15;0.21;01/01/2017
FR-88;15;0.21;01/01/2017
FR-89;15;0.18;01/01/2017
FR-90;15;0.23;01/01/2017
FR-91;15;0.2;01/01/2017
FR-92;15;0.17;01/01/2017
FR-93;15;0.2;01/01/2017
FR-94;15;0.18;01/01/2017
FR-95;15;0.18;01/01/2017
FR-01;20;6.07;01/01/2017
FR-02;20;5.08;01/01/2017
FR-03;20;5.09;01/01/2017
FR-04;20;4.87;01/01/2017
FR-05;20;5.68;01/01/2017
FR-06;20;4.28;01/01/2017
FR-07;20;5.08;01/01/2017
FR-08;20;5.32;01/01/2017
