CodeDep;Année;Hommes;Femmes;total
FR-34;01/01/2011;507496;554540;1062036
FR-35;01/01/2011;486536;509903;996439
FR-36;01/01/2011;111476;118699;230175
FR-37;01/01/2011;285744;307939;593683
FR-38;01/01/2011;598004;617208;1215212
FR-39;01/01/2011;127823;133471;261294
FR-40;01/01/2011;188629;199300;387929
FR-41;01/01/2011;160948;170332;331280
FR-42;01/01/2011;360639;388414;749053
FR-43;01/01/2011;110386;114521;224907
FR-44;01/01/2011;628984;667380;1296364
FR-45;01/01/2011;321718;337869;659587
FR-46;01/01/2011;84844;89910;174754
FR-47;01/01/2011;159505;171361;330866
FR-48;01/01/2011;38785;38371;77156
FR-49;01/01/2011;383681;406662;790343
FR-50;01/01/2011;243634;255897;499531
FR-51;01/01/2011;275118;291453;566571
FR-52;01/01/2011;89437;92938;182375
FR-53;01/01/2011;151243;155788;307031
FR-54;01/01/2011;354893;378231;733124
FR-55;01/01/2011;95750;97807;193557
FR-56;01/01/2011;353327;373756;727083
FR-57;01/01/2011;511912;533234;1045146
FR-58;01/01/2011;104555;113786;218341
FR-59;01/01/2011;1244578;1334630;2579208
FR-60;01/01/2011;396205;409437;805642
FR-61;01/01/2011;141283;149608;290891
FR-62;01/01/2011;706328;756479;1462807
FR-63;01/01/2011;307814;327655;635469
FR-64;01/01/2011;315442;341166;656608
FR-65;01/01/2011;110378;118850;229228
FR-66;01/01/2011;214970;237560;452530
FR-67;01/01/2011;536308;562961;1099269
FR-68;01/01/2011;369103;383953;753056
FR-69;01/01/2011;838862;905374;1744236
FR-70;01/01/2011;118416;121279;239695
FR-71;01/01/2011;270270;285729;555999
FR-72;01/01/2011;275743;289975;565718
FR-73;01/01/2011;206109;212840;418949
FR-74;01/01/2011;367488;379506;746994
FR-75;01/01/2011;1060585;1189390;2249975
FR-76;01/01/2011;601380;649902;1251282
FR-77;01/01/2011;654868;683559;1338427
FR-78;01/01/2011;689537;724098;1413635
FR-79;01/01/2011;181980;188959;370939
FR-80;01/01/2011;277581;293630;571211
FR-81;01/01/2011;182449;195226;377675
FR-82;01/01/2011;119445;125100;244545
FR-83;01/01/2011;486637;526098;1012735
FR-84;01/01/2011;262430;284200;546630
FR-85;01/01/2011;314503;327154;641657
FR-86;01/01/2011;206938;221509;428447
FR-87;01/01/2011;180158;195900;376058
FR-88;01/01/2011;184184;194646;378830
FR-89;01/01/2011;166450;176013;342463
FR-90;01/01/2011;71251;72097;143348
FR-91;01/01/2011;600715;624476;1225191
FR-92;01/01/2011;754981;826647;1581628
FR-93;01/01/2011;750180;779748;1529928
FR-94;01/01/2011;640471;693231;1333702
FR-95;01/01/2011;574154;606211;1180365
FR-01;01/01/2012;302828;309363;612191
FR-02;01/01/2012;263253;277635;540888
FR-03;01/01/2012;164620;178291;342911
FR-04;01/01/2012;78165;83076;161241
FR-05;01/01/2012;67915;71639;139554
FR-06;01/01/2012;513006;569008;1082014
FR-07;01/01/2012;155025;163382;318407
FR-08;01/01/2012;138238;144540;282778
FR-09;01/01/2012;74418;77948;152366
FR-10;01/01/2012;148352;157254;305606
FR-11;01/01/2012;174418;187921;362339
FR-12;01/01/2012;135525;140704;276229
FR-13;01/01/2012;948560;1036224;1984784
FR-14;01/01/2012;331232;356622;687854
FR-15;01/01/2012;71665;75750;147415
FR-16;01/01/2012;171381;182276;353657
