CodeDep;Année;Hommes;Femmes;total
FR-76;01/01/2020;604167;650572;1254739
FR-77;01/01/2020;695444;733192;1428636
FR-78;01/01/2020;705390;744333;1449723
FR-79;01/01/2020;183547;190934;374481
FR-80;01/01/2020;276034;292714;568748
FR-81;01/01/2020;188705;202361;391066
FR-82;01/01/2020;128327;133989;262316
FR-83;01/01/2020;521051;564138;1085189
FR-84;01/01/2020;269863;292078;561941
FR-85;01/01/2020;338518;354187;692705
FR-86;01/01/2020;211880;227452;439332
FR-87;01/01/2020;177625;194498;372123
FR-88;01/01/2020;176519;185878;362397
FR-89;01/01/2020;162813;171343;334156
FR-90;01/01/2020;69545;70575;140120
FR-91;01/01/2020;639827;666291;1306118
FR-92;01/01/2020;774623;851590;1626213
FR-93;01/01/2020;816324;839098;1655422
FR-94;01/01/2020;678047;729925;1407972
FR-95;01/01/2020;609521;642283;1251804
FR-01;01/01/2021;326615;335417;662032
FR-02;01/01/2021;257336;269647;526983
FR-03;01/01/2021;160627;173754;334381
FR-04;01/01/2021;80258;85572;165830
FR-05;01/01/2021;68488;71742;140230
FR-06;01/01/2021;520992;581259;1102251
FR-07;01/01/2021;161296;168716;330012
FR-08;01/01/2021;130987;137229;268216
FR-09;01/01/2021;75415;78807;154222
FR-10;01/01/2021;151766;160065;311831
FR-11;01/01/2021;180919;195966;376885
FR-12;01/01/2021;138184;141387;279571
FR-13;01/01/2021;981362;1073640;2055002
FR-14;01/01/2021;336028;362642;698670
FR-15;01/01/2021;70391;73732;144123
FR-16;01/01/2021;170290;181286;351576
FR-17;01/01/2021;315648;343731;659379
FR-18;01/01/2021;144981;154565;299546
FR-19;01/01/2021;116127;122449;238576
FR-2A;01/01/2021;78261;83611;161872
FR-2B;01/01/2021;90002;94483;184485
FR-21;01/01/2021;258471;276804;535275
FR-22;01/01/2021;292542;312669;605211
FR-23;01/01/2021;56000;59050;115050
FR-24;01/01/2021;198855;213831;412686
FR-25;01/01/2021;267608;279022;546630
FR-26;01/01/2021;251877;267544;519421
FR-27;01/01/2021;291268;307136;598404
FR-28;01/01/2021;210414;220098;430512
FR-29;01/01/2021;447273;473006;920279
FR-30;01/01/2021;363119;390390;753509
FR-31;01/01/2021;697849;736419;1434268
FR-32;01/01/2021;93653;98506;192159
FR-33;01/01/2021;793379;861946;1655325
FR-34;01/01/2021;574780;629128;1203908
FR-35;01/01/2021;536825;562249;1099074
FR-36;01/01/2021;105022;112356;217378
FR-37;01/01/2021;295532;318587;614119
FR-38;01/01/2021;628527;653999;1282526
FR-39;01/01/2021;125836;132155;257991
FR-40;01/01/2021;204716;216956;421672
FR-41;01/01/2021;159610;168661;328271
FR-42;01/01/2021;372949;396163;769112
FR-43;01/01/2021;111877;115234;227111
FR-44;01/01/2021;711851;750655;1462506
FR-45;01/01/2021;333166;350774;683940
FR-46;01/01/2021;85150;89757;174907
FR-47;01/01/2021;158435;171554;329989
FR-48;01/01/2021;38271;38322;76593
FR-49;01/01/2021;399736;423316;823052
FR-50;01/01/2021;241597;252877;494474
FR-51;01/01/2021;273613;292072;565685
FR-52;01/01/2021;83549;86731;170280
FR-53;01/01/2021;151394;154649;306043
FR-54;01/01/2021;355152;376238;731390
FR-55;01/01/2021;89724;91441;181165
FR-56;01/01/2021;373016;395601;768617
FR-57;01/01/2021;513028;536584;1049612
FR-58;01/01/2021;96625;104392;201017
FR-59;01/01/2021;1258115;1349220;2607335
FR-60;01/01/2021;405861;424699;830560
FR-61;01/01/2021;134994;141606;276600
FR-62;01/01/2021;706851;752487;1459338
FR-63;01/01/2021;321645;342544;664189
FR-64;01/01/2021;331642;359278;690920
FR-65;01/01/2021;111064;119079;230143
FR-66;01/01/2021;230321;255330;485651
FR-67;01/01/2021;561879;592833;1154712
FR-68;01/01/2021;376841;390795;767636
FR-69;01/01/2021;912774;982652;1895426
FR-70;01/01/2021;114813;118680;233493
FR-71;01/01/2021;267348;282119;549467
FR-72;01/01/2021;276072;290996;567068
FR-73;01/01/2021;216652;225247;441899
FR-74;01/01/2021;415191;428484;843675
FR-75;01/01/2021;1001421;1129683;2131104
FR-76;01/01/2021;604286;650048;1254334
FR-77;01/01/2021;698763;737316;1436079
FR-78;01/01/2021;706624;746228;1452852
FR-79;01/01/2021;183581;190847;374428
FR-80;01/01/2021;275097;291775;566872
FR-81;01/01/2021;189323;203005;392328
FR-82;01/01/2021;128950;134554;263504
FR-83;01/01/2021;525238;568889;1094127
FR-84;01/01/2021;270280;292420;562700
FR-85;01/01/2021;341340;357230;698570
FR-86;01/01/2021;212316;227845;440161
FR-87;01/01/2021;177302;194185;371487
FR-88;01/01/2021;175443;184472;359915
FR-89;01/01/2021;162111;170509;332620
FR-90;01/01/2021;69002;69974;138976
FR-91;01/01/2021;641551;667341;1308892
FR-92;01/01/2021;776821;854349;1631170
FR-93;01/01/2021;821005;843851;1664856
FR-94;01/01/2021;681230;732551;1413781
FR-95;01/01/2021;613025;645492;1258517
FR-01;01/01/2022;329082;337889;666971
FR-02;01/01/2022;256436;268287;524723
FR-03;01/01/2022;160328;173172;333500
FR-04;01/01/2022;80339;85859;166198
FR-05;01/01/2022;68381;71697;140078
FR-06;01/01/2022;522592;583641;1106233
FR-07;01/01/2022;161883;169331;331214
FR-08;01/01/2022;130280;136410;266690
FR-09;01/01/2022;75549;78875;154424
FR-10;01/01/2022;152017;160166;312183
FR-11;01/01/2022;181548;196782;378330
FR-12;01/01/2022;138312;141327;279639
FR-13;01/01/2022;984454;1077465;2061919
FR-14;01/01/2022;336588;363203;699791
FR-15;01/01/2022;70217;73586;143803
FR-16;01/01/2022;170190;181093;351283
FR-17;01/01/2022;317324;345498;662822
FR-18;01/01/2022;144408;153841;298249
FR-19;01/01/2022;115835;121955;237790
FR-2A;01/01/2022;78740;84184;162924
FR-2B;01/01/2022;90670;95236;185906
FR-21;01/01/2022;258633;277153;535786
FR-22;01/01/2022;293460;313408;606868
FR-23;01/01/2022;55536;58606;114142
FR-24;01/01/2022;198440;213548;411988
FR-25;01/01/2022;268440;280018;548458
FR-26;01/01/2022;252839;268480;521319
FR-27;01/01/2022;290509;306916;597425
FR-28;01/01/2022;210026;219544;429570
FR-29;01/01/2022;448840;474560;923400
FR-30;01/01/2022;363970;391527;755497
FR-31;01/01/2022;706456;746085;1452541
FR-32;01/01/2022;93857;98696;192553
FR-33;01/01/2022;801873;871882;1673755
FR-34;01/01/2022;581731;636743;1218474
FR-35;01/01/2022;541627;567345;1108972
FR-36;01/01/2022;104460;111781;216241
FR-37;01/01/2022;296606;319501;616107
FR-38;01/01/2022;631282;657219;1288501
FR-39;01/01/2022;125516;131788;257304
FR-40;01/01/2022;206422;218807;425229
FR-41;01/01/2022;159199;168189;327388
FR-42;01/01/2022;373964;396714;770678
FR-43;01/01/2022;111864;115233;227097
FR-44;01/01/2022;720918;759270;1480188
FR-45;01/01/2022;333812;351269;685081
FR-46;01/01/2022;85416;89780;175196
FR-47;01/01/2022;157955;171225;329180
FR-48;01/01/2022;38284;38288;76572
FR-49;01/01/2022;400995;424819;825814
FR-50;01/01/2022;241347;252299;493646
FR-51;01/01/2022;273236;291788;565024
FR-52;01/01/2022;82897;85984;168881
FR-53;01/01/2022;151439;154280;305719
FR-54;01/01/2022;354618;375775;730393
FR-55;01/01/2022;89031;90595;179626
FR-56;01/01/2022;375278;397689;772967
FR-57;01/01/2022;513345;537203;1050548
FR-58;01/01/2022;95770;103609;199379
FR-59;01/01/2022;1257583;1349582;2607165
FR-60;01/01/2022;406328;425401;831729
FR-61;01/01/2022;134076;140519;274595
FR-62;01/01/2022;705670;750918;1456588
FR-63;01/01/2022;322899;343897;666796
FR-64;01/01/2022;333517;361142;694659
FR-65;01/01/2022;111255;119149;230404
FR-66;01/01/2022;231456;256923;488379
FR-67;01/01/2022;565155;596622;1161777
FR-68;01/01/2022;377267;391229;768496
FR-69;01/01/2022;919203;989422;1908625
FR-70;01/01/2022;114264;118355;232619
FR-71;01/01/2022;267094;281432;548526
FR-72;01/01/2022;276200;290853;567053
FR-73;01/01/2022;218024;226848;444872
FR-74;01/01/2022;419867;433148;853015
FR-75;01/01/2022;994423;1123279;2117702
FR-76;01/01/2022;604611;649675;1254286
FR-77;01/01/2022;702314;742075;1444389
FR-78;01/01/2022;708633;748679;1457312
FR-79;01/01/2022;183552;190590;374142
FR-80;01/01/2022;274168;291110;565278
FR-81;01/01/2022;189881;203555;393436
FR-82;01/01/2022;129702;135184;264886
FR-83;01/01/2022;528992;573082;1102074
FR-84;01/01/2022;270516;292799;563315
FR-85;01/01/2022;344057;360064;704121
FR-86;01/01/2022;212678;228190;440868
FR-87;01/01/2022;176894;193832;370726
FR-88;01/01/2022;174476;183388;357864
FR-89;01/01/2022;161328;169689;331017
FR-90;01/01/2022;68512;69405;137917
FR-91;01/01/2022;643628;668791;1312419
FR-92;01/01/2022;779373;857717;1637090
FR-93;01/01/2022;825538;848107;1673645
FR-94;01/01/2022;684515;735889;1420404
FR-95;01/01/2022;617210;649261;1266471
